PDF Name,Text from 2nd last <td>,Download Link
"Thursday, 14th October, 2021","Thursday, 14th October, 2021",https://na.gov.pk/uploads/documents/1635762234_596.pdf
"Friday, 19th November, 2021","Friday, 19th November, 2021",https://na.gov.pk/uploads/documents/61efa1b30fddd_183.pdf
"Tuesday, 16th November, 2021","Tuesday, 16th November, 2021",https://na.gov.pk/uploads/documents/61add62571ad2_828.pdf
"Monday, 15th November, 2021","Monday, 15th November, 2021",https://na.gov.pk/uploads/documents/61add78b2dff9_226.pdf
"Friday, 12th November, 2021","Friday, 12th November, 2021",https://na.gov.pk/uploads/documents/61ade06d5d6d1_227.pdf
"Wednesday, 10th November, 2021","Wednesday, 10th November, 2021",https://na.gov.pk/uploads/documents/63ecc5fb3818e_302.pdf
"Tuesday, 9th November, 2021","Tuesday, 9th November, 2021",https://na.gov.pk/uploads/documents/63ecc6470629c_736.pdf
"Monday, 8th November, 2021","Monday, 8th November, 2021",https://na.gov.pk/uploads/documents/1637148807_960.pdf
"Friday, 5th November, 2021","Friday, 5th November, 2021",https://na.gov.pk/uploads/documents/1637552864_366.pdf
"Wednesday, 17th November, 2021","Wednesday, 17th November, 2021",https://na.gov.pk/uploads/documents/61c9a87560b46_376.pdf
"Friday, 31st December, 2021","Friday, 31st December, 2021",https://na.gov.pk/uploads/documents/61dc395252f2d_799.pdf
"Thursday, 30th December, 2021","Thursday, 30th December, 2021",https://na.gov.pk/uploads/documents/61dc4a4c12622_190.pdf
"Wednesday, 29th December, 2021","Wednesday, 29th December, 2021",https://na.gov.pk/uploads/documents/61dc04f085b3b_953.pdf
"Monday, 27th December, 2021","Monday, 27th December, 2021",https://na.gov.pk/uploads/documents/61cc20bbca66f_695.pdf
"Friday, 24th December, 2021","Friday, 24th December, 2021",https://na.gov.pk/uploads/documents/61cc11496c71d_304.pdf
"Wednesday, 22nd December, 2021","Wednesday, 22nd December, 2021",https://na.gov.pk/uploads/documents/61c9958841a22_822.pdf
"Friday, 21st January, 2022","Friday, 21st January, 2022",https://na.gov.pk/uploads/documents/63ecbe79b3bf6_642.pdf
"Wednesday, 19th January, 2022","Wednesday, 19th January, 2022",https://na.gov.pk/uploads/documents/61ee4d23e7235_797.pdf
"Tuesday, 18th January, 2022","Tuesday, 18th January, 2022",https://na.gov.pk/uploads/documents/63ecbec0bc3f2_984.pdf
"Monday, 17th January, 2022","Monday, 17th January, 2022",https://na.gov.pk/uploads/documents/61e7bb3b8f588_659.pdf
"Friday, 14th January, 2022","Friday, 14th January, 2022",https://na.gov.pk/uploads/documents/61e90b1809cc3_224.pdf
"Thursday, 13th January, 2022","Thursday, 13th January, 2022",https://na.gov.pk/uploads/documents/623303ccd1f85_765.pdf
"Wednesday, 12th January, 2022","Wednesday, 12th January, 2022",https://na.gov.pk/uploads/documents/61f2284252737_506.pdf
"Tuesday, 11th January, 2022","Tuesday, 11th January, 2022",https://na.gov.pk/uploads/documents/61ee8ffe2b188_430.pdf
"Monday, 10th January, 2022","Monday, 10th January, 2022",https://na.gov.pk/uploads/documents/61e7b84dca93a_939.pdf
"Thursday, 21st April, 2022","Thursday, 21st April, 2022",https://na.gov.pk/uploads/documents/634fbdb7792ad_114.pdf
"Wednesday, 20th April, 2022","Wednesday, 20th April, 2022",https://na.gov.pk/uploads/documents/634fbd5ac31bb_263.pdf
"Tuesday, 19th April, 2022","Tuesday, 19th April, 2022",https://na.gov.pk/uploads/documents/634fbd08c599b_664.pdf
"Monday, 18th April, 2022","Monday, 18th April, 2022",https://na.gov.pk/uploads/documents/634fbc7c8bb15_595.pdf
"Saturday, 16th April, 2022","Saturday, 16th April, 2022",https://na.gov.pk/uploads/documents/626a5d16a62fb_674.pdf
"Monday, 11th April, 2022","Monday, 11th April, 2022",https://na.gov.pk/uploads/documents/625e7596a8ebb_436.pdf
"Sunday, 10th April, 2022","Sunday, 10th April, 2022",https://na.gov.pk/uploads/documents/625d409dd2d91_338.pdf
"Saturday, 9th April, 2022","Saturday, 9th April, 2022",https://na.gov.pk/uploads/documents/62623811b9676_679.pdf
"Sunday, 3rd April, 2022","Sunday, 3rd April, 2022",https://na.gov.pk/uploads/documents/625146a813971_224.pdf
"Thursday, 31st March, 2022","Thursday, 31st March, 2022",https://na.gov.pk/uploads/documents/62500d7115200_233.pdf
"Monday, 28th March, 2022","Monday, 28th March, 2022",https://na.gov.pk/uploads/documents/62458f1857abc_873.pdf
"Friday, 25th March, 2022","Friday, 25th March, 2022",https://na.gov.pk/uploads/documents/6242cb856fa75_575.pdf
"Friday, 27th May, 2022","Friday, 27th May, 2022",https://na.gov.pk/uploads/documents/62989f31c2e06_955.pdf
"Thursday, 26th May, 2022","Thursday, 26th May, 2022",https://na.gov.pk/uploads/documents/634fc0ce4bfa8_276.pdf
"Wednesday, 25th May, 2022","Wednesday, 25th May, 2022",https://na.gov.pk/uploads/documents/63ec727436737_333.pdf
"Tuesday, 24th May, 2022","Tuesday, 24th May, 2022",https://na.gov.pk/uploads/documents/63ecbfe0b5b97_552.pdf
"Monday, 23rd May, 2022","Monday, 23rd May, 2022",https://na.gov.pk/uploads/documents/634fc059d2c4c_254.pdf
"Friday, 20th May, 2022","Friday, 20th May, 2022",https://na.gov.pk/uploads/documents/62975f929546e_112.pdf
"Tuesday, 17th May, 2022","Tuesday, 17th May, 2022",https://na.gov.pk/uploads/documents/6285eac62743f_818.pdf
